Player,Opponent,Result,Points,Total Games
Nils Dunlop [SE],Matías Díaz [CL],W,6,4
Nils Dunlop [SE],Yuxiang Wang [CN],W,9,5
Nils Dunlop [SE],Cruz Ting [TW],W,12,6
Nils Dunlop [SE],くにのり 田中邦宜 [JP],W,15,7
Nils Dunlop [SE],Toby Kongmun [AU],W,18,8
Nils Dunlop [SE],Mattie Morgan [IE],L,18,9
Nils Dunlop [SE],Luca Ceribelli [IT],W,21,10
ALEX UNDERHILL [US],RYO NONAMI [JP],W,3,1
ALEX UNDERHILL [US],Munenori Okumura [JP],W,6,2
ALEX UNDERHILL [US],Pedro Cadaval [BR],W,9,3
ALEX UNDERHILL [US],Grant Laird [US],W,12,4
ALEX UNDERHILL [US],Naoto Kishida [JP],L,12,5
ALEX UNDERHILL [US],Katsuhiko Minami [JP],W,15,6
ALEX UNDERHILL [US],WEI CHYR [TW],W,18,7
ALEX UNDERHILL [US],Giuseppe Musicco [IT],L,18,8
ALEX UNDERHILL [US],Louis Markl [DE],L,18,9
ALEX UNDERHILL [US],Wolfe Glick [US],L,18,10
Luca Ceribelli [IT],Chase Matteo [US],W,3,1
Luca Ceribelli [IT],alexander canseco [MX],W,6,2
Luca Ceribelli [IT],Christopher Han [US],L,6,3
Luca Ceribelli [IT],Kiran Singh [AU],W,9,4
Luca Ceribelli [IT],Patrick Connors [US],W,12,5
Luca Ceribelli [IT],Ngai Tam [HK],W,15,6
Luca Ceribelli [IT],Louis Markl [DE],W,18,7
Luca Ceribelli [IT],Carlos Cabal [ES],L,18,8
Luca Ceribelli [IT],Joji Kaieda [AU],L,18,9
Luca Ceribelli [IT],Nils Dunlop [SE],L,18,10
William Brown [US],Kota Uchiyama [JP],W,3,1
William Brown [US],I-SHENG LIN [TW],W,6,2
William Brown [US],Grant Laird [US],L,6,3
William Brown [US],Hanns Pizarro [PE],W,9,4
William Brown [US],Galo Orbea [EC],W,12,5
William Brown [US],James Evans [US],L,12,6
William Brown [US],Oliver Eskolin [FI],W,15,7
William Brown [US],Behzad Muntazir [US],W,18,8
William Brown [US],Simone Sanvito [IT],L,18,9
TAKAHIRO FUTAMURA [JP],Eric Bush [US],W,3,1
TAKAHIRO FUTAMURA [JP],Ryotaro Kimura [JP],W,6,2
TAKAHIRO FUTAMURA [JP],Seiya Koyasu [JP],L,6,3
TAKAHIRO FUTAMURA [JP],Marcus Koh [SG],W,9,4
TAKAHIRO FUTAMURA [JP],Kimitake Ikarashi [JP],L,9,5
TAKAHIRO FUTAMURA [JP],Junxi Zhu [US],W,12,6
TAKAHIRO FUTAMURA [JP],Ngai Tam [HK],W,15,7
TAKAHIRO FUTAMURA [JP],Nikolaj Høj Nielsen [DK],W,18,8
TAKAHIRO FUTAMURA [JP],Masayoshi Kuroo [AU],L,18,9
TAKAHIRO FUTAMURA [JP],Yan Sym [BR],L,18,10
Kiran Singh [AU],James Baek [US],L,0,1
Kiran Singh [AU],nicolas del campo [CL],W,3,2
Kiran Singh [AU],Jamie Boyt [UK],W,6,3
Kiran Singh [AU],Luca Ceribelli [IT],L,6,4
Kiran Singh [AU],Markus Hamann [DE],W,9,5
Kiran Singh [AU],Seung Lee [KR],W,12,6
Kiran Singh [AU],Forhad Chodhoury [ES],W,15,7
Kiran Singh [AU],Kazuki Ogushi [JP],W,18,8
Kiran Singh [AU],Patrick Connors [US],L,18,9
Kiran Singh [AU],Justin Tang [US],L,18,10
Matteo Velata [IT],Luca Lussignoli [IT],L,0,1
Matteo Velata [IT],蔡 皓宇 [TW],W,3,2
Matteo Velata [IT],Diego Ferreira [AU],W,6,3
Matteo Velata [IT],Seung Lee [KR],W,9,4
Matteo Velata [IT],Montana Mott [US],L,9,5
Matteo Velata [IT],Toler Webb [US],W,12,6
Matteo Velata [IT],Ashton Cox [US],W,15,7
Matteo Velata [IT],Alberto Cañuelo Gómez [ES],W,18,8
Matteo Velata [IT],Nick Navarre [US],L,18,9
Matteo Velata [IT],Hsuan-Chih Kuo [NL],L,18,10
JENN-CHAU DUH [TW],Kenneth Gamboa [MX],L,0,1
JENN-CHAU DUH [TW],Alejandro Terrazas [MX],W,3,2
JENN-CHAU DUH [TW],Kazuya Shiraishi [JP],W,6,3
JENN-CHAU DUH [TW],Flavio Del Pidio [IT],W,9,4
JENN-CHAU DUH [TW],Marco Hemantha Kaludura Silva [IT],W,12,5
JENN-CHAU DUH [TW],Yuma Kinugawa [JP],W,15,6
JENN-CHAU DUH [TW],Michael Kelsch [DE],L,15,7
JENN-CHAU DUH [TW],Cary D'Ortona [US],W,18,8
JENN-CHAU DUH [TW],Daanvir Singh Narula [SG],L,18,9
JENN-CHAU DUH [TW],Grant Laird [US],L,18,10
Takuto Notohara [JP],hong sunghyeon [KR],W,3,1
Takuto Notohara [JP],Ryan Haig [US],W,6,2
Takuto Notohara [JP],Shonosuke Ikari [JP],L,6,3
Takuto Notohara [JP],Nicolò Pollato [IT],W,9,4
Takuto Notohara [JP],Tom Winter [UK],W,12,5
Takuto Notohara [JP],Dimitri Koziaris [AU],W,15,6
Takuto Notohara [JP],Shunsuke Minami [JP],L,15,7
Takuto Notohara [JP],Joshua Denk [US],W,18,8
Takuto Notohara [JP],Victor Vieira [BR],L,18,9
Takuto Notohara [JP],Brian Collins [US],L,18,10
Tom Winter [UK],Joan Garcia [ES],L,0,1
Tom Winter [UK],Arthur Mosca [MX],W,3,2
Tom Winter [UK],Shohei Kimura [JP],W,6,3
Tom Winter [UK],Juan José Mejia Tasayco [PE],W,9,4
Tom Winter [UK],Takuto Notohara [JP],L,9,5
Tom Winter [UK],Marcus Koh [SG],W,12,6
Tom Winter [UK],Jaesung Lee [KR],W,15,7
Tom Winter [UK],TAKAHIRO ISHIDA [JP],W,18,8
Tom Winter [UK],Chuppa Cross IV [US],L,18,9
Tom Winter [UK],Christopher Han [US],L,18,10
Kevin Salvetto [IT],Chieh Ling Li [TW],W,3,1
Kevin Salvetto [IT],くにのり 田中邦宜 [JP],L,3,2
Kevin Salvetto [IT],David Rodriguez [CR],W,6,3
Kevin Salvetto [IT],Junxi Zhu [US],L,6,4
Kevin Salvetto [IT],Lorenzo Arce [US],W,9,5
Kevin Salvetto [IT],Shonosuke Ikari [JP],W,12,6
Kevin Salvetto [IT],彥博 賴 [TW],W,15,7
Kevin Salvetto [IT],Sebastian Escalante [AR],W,18,8
Kevin Salvetto [IT],Jude Gerard Lee Wei Cong [SG],L,18,9
Kevin Salvetto [IT],Shoma Honami [JP],L,18,10
Yuma Kinugawa [JP],Yuxiang Wang [CN],W,3,1
Yuma Kinugawa [JP],WEI CHYR [TW],W,6,2
Yuma Kinugawa [JP],くにのり 田中邦宜 [JP],W,9,3
Yuma Kinugawa [JP],Mattie Morgan [IE],W,12,4
Yuma Kinugawa [JP],Ko Tsukide [JP],L,12,5
Yuma Kinugawa [JP],JENN-CHAU DUH [TW],L,12,6
Yuma Kinugawa [JP],Kylan Van Severen [CA],W,15,7
Yuma Kinugawa [JP],Christopher Han [US],L,15,8
AYUMU IWASAKI [JP],Aaron Traylor [US],W,3,1
AYUMU IWASAKI [JP],Naoto Kiriyama [JP],W,6,2
AYUMU IWASAKI [JP],Ko Tsukide [JP],L,6,3
AYUMU IWASAKI [JP],Norah Bowman [US],W,9,4
AYUMU IWASAKI [JP],Longyu Lin [CN],L,9,5
AYUMU IWASAKI [JP],Angelo Piscitelli [IT],W,12,6
AYUMU IWASAKI [JP],Sebastian Rodriguez [PE],W,15,7
AYUMU IWASAKI [JP],Hsuan-Chih Kuo [NL],L,15,8
Taeseok Roe [KR],Simone Sanvito [IT],L,0,1
Taeseok Roe [KR],BYE,W,3,2
Taeseok Roe [KR],Panyawut Noijan [TH],W,6,3
Taeseok Roe [KR],KAZUKI HATAKEYAMA [JP],W,9,4
Taeseok Roe [KR],Cary D'Ortona [US],W,12,5
Taeseok Roe [KR],Toby Kongmun [AU],W,15,6
Taeseok Roe [KR],Carlos Cabal [ES],L,15,7
Taeseok Roe [KR],Chuppa Cross IV [US],L,15,8
Ryoma Okamoto [JP],Samuel Pereira [ES],W,3,1
Ryoma Okamoto [JP],David Rodriguez [CR],W,6,2
Ryoma Okamoto [JP],Brian Collins [US],W,9,3
Ryoma Okamoto [JP],Kian Campbell [US],W,12,4
Ryoma Okamoto [JP],James Baek [US],L,12,5
Ryoma Okamoto [JP],Femi Jordanovic [UK],L,12,6
Ryoma Okamoto [JP],Seiya Koyasu [JP],W,15,7
Ryoma Okamoto [JP],Cedric Bernier [US],L,15,8
Jaesung Lee [KR],Marco Marras [IT],W,3,1
Jaesung Lee [KR],Kiwamu Endo [JP],W,6,2
Jaesung Lee [KR],Nicolò Pollato [IT],W,9,3
Jaesung Lee [KR],Marcus Dion [CA],W,12,4
Jaesung Lee [KR],Louis Markl [DE],L,12,5
Jaesung Lee [KR],Carlos Cabal [ES],L,12,6
Jaesung Lee [KR],Tom Winter [UK],L,12,7
Jaesung Lee [KR],William Bassolino [IT],W,15,8
Kazuki Ogushi [JP],Victor Jimenez Coll [ES],L,0,1
Kazuki Ogushi [JP],Riley Factura [US],W,3,2
Kazuki Ogushi [JP],Ryotaro Kimura [JP],W,6,3
Kazuki Ogushi [JP],Vinicius Moscão Junqueira [BR],W,9,4
Kazuki Ogushi [JP],Kian Campbell [US],W,12,5
Kazuki Ogushi [JP],Marcus Dion [CA],W,15,6
Kazuki Ogushi [JP],Hirofumi Kimura [JP],L,15,7
Kazuki Ogushi [JP],Kiran Singh [AU],L,15,8
Hengyue Zhang [CN],Hanns Pizarro [PE],W,3,1
Hengyue Zhang [CN],CHIH-HUNG CHIU [TW],W,6,2
Hengyue Zhang [CN],Marcus Dion [CA],L,6,3
Hengyue Zhang [CN],Behzad Muntazir [US],L,6,4
Hengyue Zhang [CN],ZHIYUAN WANG [CN],W,9,5
Hengyue Zhang [CN],Sam Tabner [UK],W,12,6
Hengyue Zhang [CN],Yuta Uehara [JP],W,15,7
Hengyue Zhang [CN],James Evans [US],L,15,8
Jin-Hao Jiang [TW],Xavier Méndez [MX],W,3,1
Jin-Hao Jiang [TW],Joseph Ugarte [US],W,6,2
Jin-Hao Jiang [TW],Víctor Medina [ES],L,6,3
Jin-Hao Jiang [TW],Paul Oliver Bautista [PH],W,9,4
Jin-Hao Jiang [TW],Yan Sym [BR],W,12,5
Jin-Hao Jiang [TW],Joji Kaieda [AU],L,12,6
Jin-Hao Jiang [TW],Masayoshi Kuroo [AU],L,12,7
Jin-Hao Jiang [TW],Ben Madigan [AU],W,15,8
Louis Milich [US],彥博 賴 [TW],W,3,1
Louis Milich [US],Patrick Connors [US],L,3,2
Louis Milich [US],Mingi Kim [KR],W,6,3
Louis Milich [US],Paul Ruiz [EC],L,6,4
Louis Milich [US],Miguel Paquete [PT],W,9,5
Louis Milich [US],Christian Mossati [AU],W,12,6
Louis Milich [US],Gabriel Agati [BR],W,15,7
Louis Milich [US],CHIH-HUNG CHIU [TW],L,15,8
Dimitri Koziaris [AU],Antonio Sánchez [ES],W,3,1
Dimitri Koziaris [AU],Ryan Loseto [CA],W,6,2
Dimitri Koziaris [AU],James Evans [US],L,6,3
Dimitri Koziaris [AU],Toler Webb [US],W,9,4
Dimitri Koziaris [AU],Yuta Uehara [JP],W,12,5
Dimitri Koziaris [AU],Takuto Notohara [JP],L,12,6
Dimitri Koziaris [AU],Daniel Marcelo Reyes [US],L,12,7
Dimitri Koziaris [AU],Bryce Ong [US],W,15,8
Aurélien Soula [FR],Toby Kongmun [AU],W,3,1
Aurélien Soula [FR],Giulio Tarlao [IT],W,6,2
Aurélien Soula [FR],Lorenzo Silvestrini [IT],W,9,3
Aurélien Soula [FR],Víctor Medina [ES],L,9,4
Aurélien Soula [FR],TAKAHIRO ISHIDA [JP],L,9,5
Aurélien Soula [FR],Victor Vieira [BR],L,9,6
Aurélien Soula [FR],Davide Carrer [IT],W,12,7
Aurélien Soula [FR],ZHIYUAN WANG [CN],W,15,8
Sebastian Escalante [AR],Junhyuk Song [KR],W,3,1
Sebastian Escalante [AR],Angelo Piscitelli [IT],W,6,2
Sebastian Escalante [AR],Christian Dave Vista [PH],W,9,3
Sebastian Escalante [AR],Giovanni Cischke [US],L,9,4
Sebastian Escalante [AR],Sam Pandelis [AU],W,12,5
Sebastian Escalante [AR],Oliver Eskolin [FI],W,15,6
Sebastian Escalante [AR],Daanvir Singh Narula [SG],L,15,7
Sebastian Escalante [AR],Kevin Salvetto [IT],L,15,8
Femi Jordanovic [UK],Théotime Massaut [FR],L,0,1
Femi Jordanovic [UK],Carlos Alberto Agarie Junior [BR],W,3,2
Femi Jordanovic [UK],Adrián Isidoro [ES],W,6,3
Femi Jordanovic [UK],Ruben Gianzini [IT],W,9,4
Femi Jordanovic [UK],Jim Sullivan [AU],W,12,5
Femi Jordanovic [UK],Ryoma Okamoto [JP],W,15,6
Femi Jordanovic [UK],Longyu Lin [CN],L,15,7
Femi Jordanovic [UK],Kian Campbell [US],L,15,8
Galo Orbea [EC],CHENG-LIN LEE [TW],W,3,1
Galo Orbea [EC],Javier Nain [CL],W,6,2
Galo Orbea [EC],Behzad Muntazir [US],W,9,3
Galo Orbea [EC],Justin Tang [US],L,9,4
Galo Orbea [EC],William Brown [US],L,9,5
Galo Orbea [EC],Sam Pandelis [AU],W,12,6
Galo Orbea [EC],Dorian Quiñonez [PE],W,15,7
Galo Orbea [EC],Louis Markl [DE],L,15,8
Alister Sandover [AU],Rahim Farzan [DE],W,3,1
Alister Sandover [AU],YU PING PAI [TW],W,6,2
Alister Sandover [AU],嘉隆 井澤 [JP],L,6,3
Alister Sandover [AU],Andrew Figueras [US],W,9,4
Alister Sandover [AU],Katsuhiko Minami [JP],W,12,5
Alister Sandover [AU],Gabriel Llansó [ES],W,15,6
Alister Sandover [AU],Montana Mott [US],L,15,7
Alister Sandover [AU],Zachary Mnich [US],L,15,8
Yuki Tanaka [JP],wataru kawashima [JP],W,3,1
Yuki Tanaka [JP],Kenichi Yanagitani [JP],W,6,2
Yuki Tanaka [JP],Adam Cherfaoui [FR],W,9,3
Yuki Tanaka [JP],Kimitake Ikarashi [JP],W,12,4
Yuki Tanaka [JP],Víctor Medina [ES],L,12,5
Yuki Tanaka [JP],Christopher Han [US],L,12,6
Yuki Tanaka [JP],Patrick Connors [US],L,12,7
Yuki Tanaka [JP],Christian Dave Vista [PH],W,15,8
Francesco Pio Pero [IT],Darsh Patel [US],L,0,1
Francesco Pio Pero [IT],Mark Mullender [NL],W,3,2
Francesco Pio Pero [IT],Alberto Cañuelo Gómez [ES],W,6,3
Francesco Pio Pero [IT],Nicholas Kan [AU],W,9,4
Francesco Pio Pero [IT],Gabriel Agati [BR],W,12,5
Francesco Pio Pero [IT],Montana Mott [US],L,12,6
Francesco Pio Pero [IT],Chuppa Cross IV [US],L,12,7
Francesco Pio Pero [IT],Giorgio Lorenzo Dela Cuesta [PH],W,15,8
Dylan Salvanera [US],Paul Chua [US],W,3,1
Dylan Salvanera [US],Daniel Marcelo Reyes [US],W,6,2
Dylan Salvanera [US],Mao Harada [JP],L,6,3
Dylan Salvanera [US],Lewis Tan [AU],W,9,4
Dylan Salvanera [US],Victor Jimenez Coll [ES],L,9,5
Dylan Salvanera [US],Collin Heier [US],L,9,6
Dylan Salvanera [US],yin fung choi [HK],W,12,7
Dylan Salvanera [US],Ibrahim Maarouf [DE],W,15,8
Joshua Denk [US],W,3,1,
Joshua Denk [US],Giovanni Cischke [US],L,3,2
Joshua Denk [US],Hanns Pizarro [PE],L,3,3
Joshua Denk [US],Michael Vono [CA],W,6,4
Joshua Denk [US],Kenneth Gamboa [MX],W,9,5
Joshua Denk [US],Daniel Bezerra [BR],W,12,6
Joshua Denk [US],Oscar Gilley [UK],W,15,7
Joshua Denk [US],Takuto Notohara [JP],L,15,8
Hanns Pizarro [PE],Hengyue Zhang [CN],L,0,1
Hanns Pizarro [PE],Benny Vasquez [US],W,3,2
Hanns Pizarro [PE],Joshua Denk [US],W,6,3
Hanns Pizarro [PE],William Brown [US],L,6,4
Hanns Pizarro [PE],Juan José Mejia Tasayco [PE],W,9,5
Hanns Pizarro [PE],Dillon Kleinvehn [US],W,12,6
Hanns Pizarro [PE],Nattanon Wongwiwatchai [TH],W,15,7
Hanns Pizarro [PE],Mattie Morgan [IE],L,15,8
Paul Ruiz [EC],Eric Rios [ES],W,3,1
Paul Ruiz [EC],Justin Tang [US],L,3,2
Paul Ruiz [EC],Manuel Hernandez Marin [ES],W,6,3
Paul Ruiz [EC],Louis Milich [US],W,9,4
Paul Ruiz [EC],Simone Sanvito [IT],L,9,5
Paul Ruiz [EC],Nicholas Morales [US],W,12,6
Paul Ruiz [EC],Mattie Morgan [IE],L,12,7
Paul Ruiz [EC],William Holtsbaum [CA],W,15,8
Kimitake Ikarashi [JP],cristhian andrade [BR],W,3,1
Kimitake Ikarashi [JP],Luca Paz [US],W,6,2
Kimitake Ikarashi [JP],Victor Jimenez Coll [ES],W,9,3
Kimitake Ikarashi [JP],Yuki Tanaka [JP],L,9,4
Kimitake Ikarashi [JP],TAKAHIRO FUTAMURA [JP],W,12,5
Kimitake Ikarashi [JP],Grant Laird [US],L,12,6
Kimitake Ikarashi [JP],Taran Birdee [UK],L,12,7
Kimitake Ikarashi [JP],Seung Lee [KR],W,15,8
Fabian Kuhl [DE],Tsz Tung NG [HK],W,3,1
Fabian Kuhl [DE],Justin Burns [US],W,6,2
Fabian Kuhl [DE],Yan Sym [BR],W,9,3
Fabian Kuhl [DE],Yuta Uehara [JP],W,12,4
Fabian Kuhl [DE],Jude Gerard Lee Wei Cong [SG],L,12,5
Fabian Kuhl [DE],Jack Roth [AU],W,15,6
Fabian Kuhl [DE],Simone Sanvito [IT],L,15,7
Fabian Kuhl [DE],Brian Collins [US],L,15,8
Ryan Powney [IE],Wonjae Kim [KR],W,3,1
Ryan Powney [IE],kazuki kobayashi [JP],W,6,2
Ryan Powney [IE],James Baek [US],L,6,3
Ryan Powney [IE],Brady Smith [US],W,9,4
Ryan Powney [IE],Billy James Cubillan [PH],W,12,5
Ryan Powney [IE],PIN CHUN LIN [TW],L,12,6
Ryan Powney [IE],Cedric Bernier [US],L,12,7
Ryan Powney [IE],Nattanon Wongwiwatchai [TH],W,15,8
TAKAHIRO ISHIDA [JP],Alvin Rambano [PH],W,3,1
TAKAHIRO ISHIDA [JP],Matías Díaz [CL],W,6,2
TAKAHIRO ISHIDA [JP],Jim Sullivan [AU],W,9,3
TAKAHIRO ISHIDA [JP],嘉隆 井澤 [JP],L,9,4
TAKAHIRO ISHIDA [JP],Aurélien Soula [FR],W,12,5
TAKAHIRO ISHIDA [JP],WEI CHYR [TW],L,12,6
TAKAHIRO ISHIDA [JP],Paul Chua [US],W,15,7
TAKAHIRO ISHIDA [JP],Tom Winter [UK],L,15,8
PIN CHUN LIN [TW],Papon Jirawattanakul [TH],W,3,1
PIN CHUN LIN [TW],Ryosuke Kosuge [JP],W,6,2
PIN CHUN LIN [TW],Matthew So [US],W,9,3
PIN CHUN LIN [TW],Yuki Zaninovich [US],W,12,4
PIN CHUN LIN [TW],Justin Tang [US],L,12,5
PIN CHUN LIN [TW],Ryan Powney [IE],W,15,6
PIN CHUN LIN [TW],Grant Laird [US],L,15,7
PIN CHUN LIN [TW],Nick Navarre [US],L,15,8
Behzad Muntazir [US],Vijay Sood [US],W,3,1
Behzad Muntazir [US],Jamie Boyt [UK],W,6,2
Behzad Muntazir [US],Galo Orbea [EC],L,6,3
Behzad Muntazir [US],Hengyue Zhang [CN],W,9,4
Behzad Muntazir [US],Jittarin Rojmahamongkol [TH],W,12,5
Behzad Muntazir [US],Cedric Bernier [US],W,15,6
Behzad Muntazir [US],Jude Gerard Lee Wei Cong [SG],L,15,7
Behzad Muntazir [US],William Brown [US],L,15,8
Taran Birdee [UK],Ruben Gianzini [IT],L,0,1
Taran Birdee [UK],ginjiro shiraki [JP],W,3,2
Taran Birdee [UK],Jean López [CR],W,6,3
Taran Birdee [UK],Kazuma Sobashima [JP],W,9,4
Taran Birdee [UK],Xicheng Pan [CN],W,12,5
Taran Birdee [UK],Nick Navarre [US],L,12,6
Taran Birdee [UK],Kimitake Ikarashi [JP],W,15,7
Taran Birdee [UK],Yan Sym [BR],L,15,8
Cary D'Ortona [US],David Carrasco [ES],W,3,1
Cary D'Ortona [US],Joan Garcia [ES],L,3,2
Cary D'Ortona [US],Aaron Brok [US],W,6,3
Cary D'Ortona [US],Matt Maynard [UK],W,9,4
Cary D'Ortona [US],Taeseok Roe [KR],L,9,5
Cary D'Ortona [US],Len Deuel [US],W,12,6
Cary D'Ortona [US],Yuki Zaninovich [US],W,15,7
Cary D'Ortona [US],JENN-CHAU DUH [TW],L,15,8
Nikolaj Høj Nielsen [DK],Sidy Badiane [IT],W,3,1
Nikolaj Høj Nielsen [DK],Jin Yang Lee [MY],W,6,2
Nikolaj Høj Nielsen [DK],Simone Sanvito [IT],L,6,3
Nikolaj Høj Nielsen [DK],Michael Kelsch [DE],L,6,4
Nikolaj Høj Nielsen [DK],Noah Gardner [US],W,9,5
Nikolaj Høj Nielsen [DK],Kusha Kanani [DE],W,12,6
Nikolaj Høj Nielsen [DK],Collin Heier [US],W,15,7
Nikolaj Høj Nielsen [DK],TAKAHIRO FUTAMURA [JP],L,15,8
WEI CHYR [TW],Noppasorn Tangkasem [TH],W,3,1
WEI CHYR [TW],Yuma Kinugawa [JP],L,3,2
WEI CHYR [TW],kazuki kobayashi [JP],W,6,3
WEI CHYR [TW],Adam Cherfaoui [FR],W,9,4
WEI CHYR [TW],Lorenzo Silvestrini [IT],W,12,5
WEI CHYR [TW],TAKAHIRO ISHIDA [JP],W,15,6
WEI CHYR [TW],ALEX UNDERHILL [US],L,15,7
WEI CHYR [TW],Aaron Brok [US],L,15,8
Toby Kongmun [AU],Aurélien Soula [FR],L,0,1
Toby Kongmun [AU],David Carrasco [ES],W,3,2
Toby Kongmun [AU],SHIH-CHUN LO [TW],W,6,3
Toby Kongmun [AU],Takumi Okuo [JP],W,9,4
Toby Kongmun [AU],Sam Tabner [UK],W,12,5
Toby Kongmun [AU],Taeseok Roe [KR],L,12,6
Toby Kongmun [AU],choi jeongkyu [KR],W,15,7
Toby Kongmun [AU],Nils Dunlop [SE],L,15,8
Katsuhiko Minami [JP],Javier Señorena [ES],W,3,1
Katsuhiko Minami [JP],Kazuma Sobashima [JP],W,6,2
Katsuhiko Minami [JP],Jittarin Rojmahamongkol [TH],W,9,3
Katsuhiko Minami [JP],Sam Tabner [UK],W,12,4
Katsuhiko Minami [JP],Alister Sandover [AU],L,12,5
Katsuhiko Minami [JP],ALEX UNDERHILL [US],L,12,6
Katsuhiko Minami [JP],Aaron Brok [US],L,12,7
Katsuhiko Minami [JP],Kaoru Ueki [JP],W,15,8
くにのり 田中邦宜 [JP],Davide Miraglia [IT],W,3,1
くにのり 田中邦宜 [JP],Kevin Salvetto [IT],W,6,2
くにのり 田中邦宜 [JP],Yuma Kinugawa [JP],L,6,3
くにのり 田中邦宜 [JP],Miguel Paquete [PT],W,9,4
くにのり 田中邦宜 [JP],Michael Navas [AU],L,9,5
くにのり 田中邦宜 [JP],Ryosuke Kosuge [JP],W,12,6
くにのり 田中邦宜 [JP],Nils Dunlop [SE],L,12,7
くにのり 田中邦宜 [JP],Ryan Loseto [CA],W,15,8
Marcus Dion [CA],nicolas del campo [CL],W,3,1
Marcus Dion [CA],Alessio Fuscà [IT],W,6,2
Marcus Dion [CA],Hengyue Zhang [CN],W,9,3
Marcus Dion [CA],Jaesung Lee [KR],L,9,4
Marcus Dion [CA],Max Morales [CR],W,12,5
Marcus Dion [CA],Kazuki Ogushi [JP],L,12,6
Marcus Dion [CA],Ferdinando Vincenti [IT],W,15,7
Marcus Dion [CA],Wolfe Glick [US],L,15,8
Forhad Chodhoury [ES],Gavin Michaels [US],L,0,1
Forhad Chodhoury [ES],Renzo Navarro [PE],W,3,2
Forhad Chodhoury [ES],Joseph Martin [UK],L,3,3
Forhad Chodhoury [ES],Omar Acuña Acevedo [CL],W,6,4
Forhad Chodhoury [ES],Mingi Kim [KR],W,9,5
Forhad Chodhoury [ES],I-SHENG LIN [TW],W,12,6
Forhad Chodhoury [ES],Kiran Singh [AU],L,12,7
Forhad Chodhoury [ES],Diego Aguirre [CA],W,15,8
Michael Navas [AU],Oliver Ramsay [AU],L,0,1
Michael Navas [AU],Carson Confer [US],W,3,2
Michael Navas [AU],Wonjae Kim [KR],W,6,3
Michael Navas [AU],Tomoyuki Tanaka [SG],W,9,4
Michael Navas [AU],くにのり 田中邦宜 [JP],W,12,5
Michael Navas [AU],Shunsuke Minami [JP],L,12,6
Michael Navas [AU],Alberto Cañuelo Gómez [ES],L,12,7
Michael Navas [AU],Ashton Cox [US],W,15,8
choi jeongkyu [KR],Omar Acuña Acevedo [CL],W,3,1
choi jeongkyu [KR],Giorgio Lorenzo Dela Cuesta [PH],W,6,2
choi jeongkyu [KR],Jude Gerard Lee Wei Cong [SG],L,6,3
choi jeongkyu [KR],RYO NONAMI [JP],W,9,4
choi jeongkyu [KR],Christopher Han [US],L,9,5
choi jeongkyu [KR],Samuel Pereira [ES],W,12,6
choi jeongkyu [KR],Toby Kongmun [AU],L,12,7
choi jeongkyu [KR],Joseph Martin [UK],W,15,8
Antonio Sánchez [ES],Dimitri Koziaris [AU],L,0,1
Antonio Sánchez [ES],Jonathan Zuniga [US],W,3,2
Antonio Sánchez [ES],Frederik Nielsen [DK],W,6,3
Antonio Sánchez [ES],Gabriel Agati [BR],L,6,4
Antonio Sánchez [ES],Edward Z Fan [HK],W,9,5
Antonio Sánchez [ES],Norah Bowman [US],W,12,6
Antonio Sánchez [ES],Gabriel Llansó [ES],W,15,7
Antonio Sánchez [ES],Victor Vieira [BR],L,15,8
Kiwamu Endo [JP],Or Kei yin [HK],W,3,1
Kiwamu Endo [JP],Jaesung Lee [KR],L,3,2
Kiwamu Endo [JP],Patrick Jan Cabangin [PH],W,6,3
Kiwamu Endo [JP],Arath Alejandro Vera Almaraz [MX],W,9,4
Kiwamu Endo [JP],Zachary Mnich [US],L,9,5
Kiwamu Endo [JP],Yoshimasa Hayakawa [JP],W,12,6
Kiwamu Endo [JP],Bruno Rebello [BR],W,15,7
Kiwamu Endo [JP],Giovanni Cischke [US],L,15,8
Juan Lucin [EC],Marco Hemantha Kaludura Silva [IT],L,0,1
Juan Lucin [EC],Paul Chua [US],L,0,2
Juan Lucin [EC],Worrachate Bosri [TH],W,3,3
Juan Lucin [EC],Marco Marras [IT],W,6,4
Juan Lucin [EC],Naoto Kiriyama [JP],W,9,5
Juan Lucin [EC],Francesco Di Biase [IT],W,12,6
Juan Lucin [EC],Shoma Honami [JP],L,12,7
Juan Lucin [EC],Sam Tabner [UK],W,15,8
Daniel Marcelo Reyes [US],Javier Ponce [CL],W,3,1
Daniel Marcelo Reyes [US],Dylan Salvanera [US],L,3,2
Daniel Marcelo Reyes [US],Mark Cotter [IE],L,3,3
Daniel Marcelo Reyes [US],Ben Madigan [AU],W,6,4
Daniel Marcelo Reyes [US],Ruben Gianzini [IT],W,9,5
Daniel Marcelo Reyes [US],Andrew Ding [US],W,12,6
Daniel Marcelo Reyes [US],Dimitri Koziaris [AU],W,15,7
Daniel Marcelo Reyes [US],Patrick Connors [US],L,15,8
Gabriel Agati [BR],Gustavo kengo [BR],W,3,1
Gabriel Agati [BR],Brian Collins [US],L,3,2
Gabriel Agati [BR],Alessio Fuscà [IT],W,6,3
Gabriel Agati [BR],Antonio Sánchez [ES],W,9,4
Gabriel Agati [BR],Francesco Pio Pero [IT],L,9,5
Gabriel Agati [BR],Pedro Cadaval [BR],W,12,6
Gabriel Agati [BR],Louis Milich [US],L,12,7
